,disease 1,disease 2,distance
0,alzheimer's disease,esophageal cancer,4.247586863174071
0,alzheimer's disease,esophageal squamous cell carcinoma,4.36085552804721
0,alzheimer's disease,essential hypertension,3.3868245303461113
0,alzheimer's disease,gastric cancer,3.7822001839602555
0,alzheimer's disease,gestational diabetes mellitus,3.6406352197031477
0,alzheimer's disease,glioblastoma,2.922338221215479
0,alzheimer's disease,glioblastoma multiforme,3.05186801731771
0,alzheimer's disease,glioma,3.2515193052199747
0,alzheimer's disease,heart disease,3.1965486466349513
0,alzheimer's disease,hepatic steatosis,4.688491093555842
0,alzheimer's disease,hepatoblastoma,3.5096260174898544
0,alzheimer's disease,hepatocellular carcinoma,3.9285460236815664
0,alzheimer's disease,hirschsprung disease,3.7300525691760855
0,alzheimer's disease,hypertension,3.1917627620564306
0,alzheimer's disease,hypertrophic cardiomyopathy,3.570702638914589
0,alzheimer's disease,hypopharyngeal squamous cell carcinoma,3.5731423442516133
0,alzheimer's disease,infantile hemangioma,4.16778734653506
0,alzheimer's disease,intervertebral disc degeneration,3.6848026181128395
0,alzheimer's disease,leukoaraiosis,4.214483163277454
0,alzheimer's disease,liver cancer,3.5990372300349263
0,alzheimer's disease,lung adenocarcinoma,4.4283426533096835
0,alzheimer's disease,lung cancer,3.6275162553677083
0,alzheimer's disease,lupus nephritis,3.4830228423419225
0,alzheimer's disease,major depressive disorder,3.1116285618262953
0,alzheimer's disease,moyamoya disease,3.93490148006504
0,alzheimer's disease,multiple sclerosis,3.1141543324961667
0,alzheimer's disease,multiple system atrophy,4.748478742286345
0,alzheimer's disease,myocardial infarction,3.1320269879527682
0,alzheimer's disease,neuropathic pain,4.5275324358669735
0,alzheimer's disease,nonalcoholic steatohepatitis,3.576688898736891
0,alzheimer's disease,non-small cell lung cancer,3.510283568585128
0,alzheimer's disease,oral squamous cell carcinoma,3.5783129449347566
0,alzheimer's disease,osteoarthritis,3.4561261685356217
0,alzheimer's disease,osteosarcoma,3.1282660802950564
0,alzheimer's disease,ovarian endometriosis,3.613831493218585
0,alzheimer's disease,pancreatic cancer,4.070212733773645
0,alzheimer's disease,pancreatic ductal adenocarcinoma,3.3385847251211795
0,alzheimer's disease,papillary thyroid carcinoma,3.188187273527254
0,alzheimer's disease,pre-eclampsia,3.953767453306669
0,alzheimer's disease,prostate adenocarcinoma,3.6358159030880786
0,alzheimer's disease,prostate cancer,3.377193561992038
0,alzheimer's disease,pulmonary tuberculosis,3.619627921942294
0,alzheimer's disease,rheumatoid arthritis,3.1611062109838737
0,alzheimer's disease,silicosis,3.981984986752262
0,alzheimer's disease,systemic lupus erythematosus,4.052060203236786
0,alzheimer's disease,thoracic aortic dissection,3.5995300385656956
0,alzheimer's disease,tuberculosis,3.2176413379716435
0,alzheimer's disease,type 2 diabetes mellitus,4.391588306971035
0,atherosclerosis,basal cell carcinoma,3.687897692401916
0,atherosclerosis,bladder cancer,3.5414837533210837
0,atherosclerosis,bladder urothelial carcinoma,4.362716310945989
0,atherosclerosis,breast cancer,3.327575227463512
0,atherosclerosis,cardiovascular disease,3.1114617332029804
0,atherosclerosis,cervical cancer,3.4105013219274514
0,atherosclerosis,cervical carcinoma,4.109301697101928
0,atherosclerosis,cholangiocarcinoma,3.2344656373612537
0,atherosclerosis,clear cell renal cell carcinoma,4.530686357395267
0,atherosclerosis,colon cancer,4.05401984283858
0,atherosclerosis,colorectal cancer,3.7265800960666895
0,atherosclerosis,coronary artery disease,3.1705085705382805
0,atherosclerosis,cutaneous squamous cell carcinoma,4.053447156419711
0,atherosclerosis,diabetes mellitus,2.9644732162435132
0,atherosclerosis,diabetic retinopathy,3.2957193611588496
0,atherosclerosis,dilated cardiomyopathy,5.1167393810218424
0,atherosclerosis,endometrial cancer,4.2851854425342655
0,atherosclerosis,esophageal cancer,4.450759176467434
0,atherosclerosis,esophageal squamous cell carcinoma,4.316383600433863
0,atherosclerosis,essential hypertension,3.551978853759834
0,atherosclerosis,gastric cancer,3.8622047258983914
0,atherosclerosis,gestational diabetes mellitus,3.6111357694204456
0,atherosclerosis,glioblastoma,3.1348669592465277
0,atherosclerosis,glioblastoma multiforme,3.0352821297690324
0,atherosclerosis,glioma,3.2222759017394287
0,atherosclerosis,heart disease,3.2453604857845644
0,atherosclerosis,hepatic steatosis,4.730686305184612
0,atherosclerosis,hepatoblastoma,3.6173023964798108
0,atherosclerosis,hepatocellular carcinoma,3.658907600703233
0,atherosclerosis,hirschsprung disease,4.12976864856621
0,atherosclerosis,hypertension,3.254626092052893
0,atherosclerosis,hypertrophic cardiomyopathy,3.6727321571590843
0,atherosclerosis,hypopharyngeal squamous cell carcinoma,3.553619367959469
0,atherosclerosis,infantile hemangioma,3.905356960182914
0,atherosclerosis,intervertebral disc degeneration,3.5772984953338414
0,atherosclerosis,leukoaraiosis,4.3625823945451225
0,atherosclerosis,liver cancer,3.5741137082000303
0,atherosclerosis,lung adenocarcinoma,4.505200170768606
0,atherosclerosis,lung cancer,3.6355765548979466
0,atherosclerosis,lupus nephritis,3.4045145873742624
0,atherosclerosis,major depressive disorder,3.157321348850485
0,atherosclerosis,moyamoya disease,3.86431023212324
0,atherosclerosis,multiple sclerosis,3.365380665770217
0,atherosclerosis,multiple system atrophy,4.775753236145364
0,atherosclerosis,myocardial infarction,3.2361378222288346
0,atherosclerosis,neuropathic pain,4.48698646296772
0,atherosclerosis,nonalcoholic steatohepatitis,3.438739084562232
0,atherosclerosis,non-small cell lung cancer,3.404843956228943
0,atherosclerosis,oral squamous cell carcinoma,3.58875018458951
0,atherosclerosis,osteoarthritis,3.7338970919082004
0,atherosclerosis,osteosarcoma,3.1371690548702937
0,atherosclerosis,ovarian endometriosis,3.5990895695079037
